achalasia	akalazya
ache	v.ağrı:n.ağrı
achilles reflex	aşil refleksi
achillobursitis	aşillobursit
achlorhydria	aklorhidri
achlorhydric anemia	aklorhidrik anemi
achloropsia	akloropsi
acholia	akoli
acholic	akolik
acholuria	akolüri
achondroplasia	akondroplazi
achromasia	akromazi
achromate	renk körü
achromatic	akromatik
achromatin	akromatin
achromatism	renk körlüğü
achromatopsia	akromatopsi
achromatosis	akromatozis
achromaturia	akromatüri
achromia	akromi
achromic	akromik
achromodermia	akromodermi
achromotrichia	akromotrişi
achylia	aşili
achylia gastrica	gastrik aşili
achylia pancreatica	pankreatik aşili
achylosis	aşili
acid	asit
acid base balance	asid baz dengesi
acid fast	aside dirençli
acid phosphatase	asit fosfataz
acid proof	aside dirençli
acidaminuria	aminoasidüri
acidemia	asidoz
acidification	asitleşme
acidify	asitleştir
acidism	asidizm
acidity	asidite
acidocyte	asidosit
acidocytosis	eozinofili
acidophil	asidofil
acidophil adenoma	asidofil adenom
acidoresistant	aside dirençli
acidosis	asidoz
acidotic	asidotik
aciduria	asidüri
acinitis	asinitis
acinus	asinüs
acne	akne
acne ciliaris	siliyer akne
acne rosacea	akne rozasea
acne vulgaris	akne vulgaris
acneiform	sivilcemsi
acnitis	aknit
acorea	akore
acoria	akori
acoumeter	akometre
acoumetry	akometri
acoustic	akustik
acoustics	sesbilim
acquiescent	uysal
acquired achromia	vitiligo
acquired immune deficiency syndrome	aıds
acrania	akrania
acrid	keskin
acrimony	keskinlik
acrinia	akrinia
acroarthritis	akroartrit
acroasphyxia	akrosiyanoz
acroataxia	akroataksi
acrobystiolith	akrobistiyolit
acrobystitis	akrobistit
acrocephaly	akrosefali
acrocyanosis	akrosiyanoz
acrodermatitis	akrodermatit
acrodermatitis enteropathica	akrodermatitis enteropatika
acrodermatosis	akrodermatoz
acrodynia	akrodini
acrohyperhidrosis	akrohiperhidrozis
acrohypothermic	akrohipotermik
acrohypothermy	akrohipotermi
acrokeratosis	akrokeratoz
acromastitis	akromastit
acromegalic	akromegalik
acromegaly	akromegali
acromelalgia	akromelalji
acromioclavicular	akromiyoklaviküler
acromion	akromiyon
acromionectomy	akromiyonektomi
acromioscapular	akromiyoskapüler
acromycosis	akromikoz
acronyx	akroniks
acroosteolysis	akroosteoliz
acroparalysis	akroparaliz
acropathy	akropati
acrophobia	akrofobi
acrostealgia	akrostealji
acrotic	akrotik
acrotism	nabızsızlık
acrotrophoneurosis	akrotrofonöroz
actin	kasın kasılmasını sağlayan bir protein
actinic	aktinik
actiniform	aktiniform
actinobacillosis	aktinobasilloz
actinodermatitis	aktinodermatit
actinogenesis	aktinogenez
actinogenetic	aktinogenetik
actinology	aktinoloji
actinolyte	aktinolit
actinometer	aktinometre
actinomyces	aktinomiçes
actinomycin	aktinomisin
actinomycosis	aktinomikoz
actinophytosis	aktinofitozis
actinotherapy	ışın tedavisi
action potential	aksiyon potansiyeli
actomyosin	bir kas proteini
acuity	keskinlik
acuminate	sivri uçlu
acupuncture	akupunktur
acupuncture anesthesia	akupunktur anestezi
acus	cerrahi iğne
acute	akut
acute abdomen	akut karın
acute abscess	akut apse
acute alcoholism	akut alkol intoksikasyonu
acute appendicitis	akut apandisit
acute hemolytic anemia	akut hemolitik anemi
acute hemorrhagic anemia	akut hemorajik anemi
acutenaculum	iğne tutucu
acyanoblepsia	asiyanoblepsi
acyanopsia	asiyanoblepsi
acyanotic	asiyanotik
ad lib	isteğe göre
adactylia	adaktili
adamantine	adamantin
adamantinocarcinoma	adamantinokarsinom
adamantinoma	adamantinom
adamantoblast	adamantoblast
adamantoblastoma	adamantinom
adaptometer	adaptometre
addax	bir tür antilop
addict	müptela
addiction	alışkanlık
addictive	alışkanlık yapan
additive	katkısal
adducens	addüktör
adducent	addüktör
adduction	addüksiyon
adductor	addüktör
adem's apple	adem elması
adenectomy	adenektomi
adenectopia	bez ektopisi
adenine	adenin
adenitis	adenit
adenoacanthoma	adenoakantom
adenoangiosarcoma	adenoanjiyosarkom
adenoblast	adenoblast
adenocarcinoma	adenokarsinom
adenocele	adenosel
adenochrome	sürrenal korteks
adenocyte	adenosit
adenoepithelioma	adenoepitelyoma
adenofibrosis	adenofibrozis
adenohypophysis	adenohipofiz
adenoid	adenoid
adenoidectomy	adenoidektomi
adenolipoma	adenolipom
adenolymphoma	adenolenfoma
adenoma	adenom
adenomatosis	adenomatozis
adenomatous	adenomatöz
adenomyoma	adenomyom
adenomyosarcoma	adenomyosarkom
adenomyosis	adenomiyoz
adenomyositis	adenomiyozit
adenopathy	adenopati
adenopharyngitis	adenofarenjit
adenophthalmia	adenoftalmi
adenosarcoma	adenosarkom
adenosine	adenozin
adenosine diphosphate	adenozin difosfat
adenosine triphosphate	adenozin trifosfat
adenotomy	adenotomi
adenotonsillectomy	adenotonsillektomi
adhare	yapış
adherent	yapışık
adhesion	yapışma
adhesiotomy	adheziotomi
adhesive	adezif
adiadochokinesis	adiadokokinezi
adiastol	adiyastol
adipectomy	adipektomi
adipocele	adiposel
adipogenous	adipojen
adipoid	adipoid
adipolysis	adipoliz
adipoma	adipoma
adiponecrosis	yağ nekrozu
adipose	adipoz
adipositis	adipozitis
adiposity	adipozite
adiposuria	adipozüri
aditus	ağız
adjacent	bitişik
adjuvant	adjuvan
adnexectomy	adneksektomi
adnexitis	adneksit
adnexopexy	adneksopeksi
adolescence	adolesans
adolescent	adolesan
adoption	evlat edinme
adrenal	böbreküstü bezi
adrenalectomy	adrenalektomi
adrenaline	adrenalin
adrenarche	adrenarş
adrenergic	adrenerjik
adrenocortical	adrenokortikal
adrenocorticotrophic	adrenokortikotropik
adrenocorticotrophin	adrenokortikotropik hormon
adrenocorticotropic	adrenokortikotropik
adrenogenital	adrenogenital
adrenogenital syndrome	adrenogenital sendrom
adrenogram	adrenogram
adrenography	adrenografi
adrenomedullotropic	adrenomedullotropik
adrenosterone	adrenosteron
adrenotropic	adrenotropik
adrenotropin	adrenotropin
adsorbent	adsorban
adsorption	adsorpsiyon
adtorsion	içe şaşılık
adult	erişkin
adult dose	erişkin dozu
adultery	zina
adulthood	erişkin dönem
adventitia	adventisya
adynamia	adinami
aerate	havalandır
aeration	havalanma
aerobe	aerob
aerobe organism	oksijenli ortamda yaşayan organizma
aerobic	aerobik
aerocele	aerosel
aerocoly	aerokoli
aeroembolism	hava embolisi
aerogastria	aerogastri
aerophagy	aerofaji
aerophilic	aerofil
aerophilous	aerofil
aerophobia	aerofobi
aerosol	aerosol
aerotherapy	aeroterapi
aerothermotherapy	aerotermoterapi
aesculapius	aesculapius
afebril	ateşsiz
afection	duygulanım
affective personality	siklotimik kişilik
afferent	afferent
affinity	afinite
afibrinogenemia	afibrinojenemi
aflatoxin	aflatoksin
african elephant	afrika fili
african manatee	afrika manatisi
african migratory	afrika göçmen
afterimage	afterimage
afunction	işlevsizlik
against the grain	doğasına aykırı
agalactia	süt olmaması
agamas	sırtı dikenli kertenkele
aganglionic	agangliyonik
aganglionosis	agangliyonozis
agar	agar
agar agar	agar agar
agastria	agastri
agastric	agastrik
agenesia	agenezi
agenesis	agenezi
ageusia	ageuzi
agger	kabartı
agglomeration	yığın
agglutinant	aglutinin
agglutinate	aglutine ol
agglutination	aglutinasyon
agglutinin	özel bir antikor
agglutinogen	aglutinojen
agglutinonogen	aglütinin meydana getiren bir madde
aggravate	ağırlaştır
aggregation	agregasyon
aggression	agresyon
aggressive	agresif
aggressivity	agresiflik
agitation	ajitasyon
agitographia	ajitografi
agitolalia	ajitolali
aglossia	aglosi
aglutinative	yapıştırıcı
aglutition	yutamama
aglycone	aglikon
agmatology	kırık bilimi
agnail	şeytan tırnağı
agnathia	agnati
agnogenic	agnojnik
agnosia	agnozi
agonadal	agonadal
agonal	agonik
agonize	kıvran
agony	agoni
agoraphobia	agorafobi
agouties	agutigiller ailesi
agouty	bir tür kemirici
agraffe	agraf
agranulocyte	agranülosit
agranulocytosis	agranülositoz
agranulosis	agranülosiz
agraphia	agrafi
agria	agria
agromania	agromani
agrypnocoma	uyanık koma
ague	sıtma nöbeti
agyria	agiria
aids	aıds
ailment	hastalık
air embolism	hava embolisi
airtight	hava geçirmez
aisthesis	algılama
akari	kene
akathisia	akatizi
akihiloa	bir kuş türü
akinesia	hareketsizlik
akinetic	hareketsiz
aknephascopia	alacakaranlık körlüğü
aktinosferyum	bir gözeli canlı
ala	kanat
ala nasi	burun kanadı
alalia	alali
alaudidae	tarla kuşugiller familyası
albedo retinae	retina ödemi
albinism	doğuştan renk maddesi eksikliği
albino	albino
albugo	albugo
albumen	albumin
albumin	albumin
albuminate	albumin bileşiği
albuminemia	hiperalbuminemi
albuminoid	albuminoid
albuminolysis	proteoliz
albuminometer	albuminometre
albuminosis	albuminozis
albuminuria	albuminüri
albumose	albümoz
albumosuria	albümozüri
alcapton	homogentisik asit
alcaptonuria	alkaptonüri
alcoholemia	alkolemi
alcoholic	alkolik
alcoholic ataxia	alkolik ataksi
alcoholic cirrhosis	alkolik siroz
alcoholism	alkolizm
alcoholist	alkolik
alcoholomania	alkolomani
alcoholometer	alkolometre
alcoholophilia	alkolofili
alcoholuria	alkolüri
aldehyde	aldehid
aldose	aldoz
aldosterone	aldosteron
aldosteronism	aldosteronizm
aldosteronoma	aldosteronoma
alembic	imbik
aleukia	alösemi
aleukocytosis	alökositoz
alexia	aleksi
algology	yosunbilim
algometer	ağrıölçer
algophily	algofili
algophobia	algofobi
algor mortis	ölü soğukluğu
alices	alices
alienation	ruh hastalığı
alienism	psikiyatri
alienist	psikiyatrist
aliment	gıda
alimentary	alimenter
alimentary albuminuria	alimenter albuminüri
alimentary system	sindirim sistemi
alimentation	beslenme
alimentology	beslenme bilimi
aliphatic	alifatik
alkalemia	alkalemi
alkalescent	alkali
alkali	alkali
alkaline	alkalik
alkaline phosphatase	alkalen fosfataz
alkalinity	alkalinite
alkalinuria	alkalinüri
alkalization	alkalileştirme
alkaloid	alkaloid
alkalosis	alkaloz
alkaluria	alkalüri
alkyl	alkil
alkylating agent	alkilleyici ajan
allantiasis	botulizm
allantoic	allantoik
allantois	allantois
allele	alel
allelism	alelizm
allergen	allerjen
allergic	allerjik
allergic asthma	allerjik astım
allergy	allerji
alleviate	yatıştır
alleviation	yatıştırma
allocentric	allosentrik
allograft	homogreft
allokeratoplasty	allokeratoplasti
allopathy	allopati
allophasis	allofazi
allophthalmia	alloftalmi
alloplasia	alloplazi
