dura mater: matris f	оболочка твердая головного мозга
durus	плотный
durus	твердый
dynam-, -dynamia	сила
dynam-, -dynamia	усилие
dys-	расстройство
dystonia	нарушение тонуса
ectopia	врожденное смещение органа
eczema: atis n	экзема (лишай)
elixir: iris m	эликсир
embolia	эмболия (закупорка)
emissarium	выпускник (выводящий канал)
emphysema: atis n	эмфизема
emplastrum	пластырь
emulsum	эмульсия
encephalon	мозг головной
enter-	кишка
enter-, intestina (pl)	кишечник
entropion	/>заворот века
ephedrinum	эфедрин
epigastrium	надчревье
epiglottis	надгортанник
epithelium	эпителий
erg-, -ergia, -urgia	действие
erg-, -ergia, -urgia	деятельность
erg-, -ergia, -urgia	работа
eruptio: onis f	высыпание
eruptio: onis f	сыпь
erythr-	красный
erythr-	относ. к эритроцитам
erythromycinum	эритромицин
ethmoidalis	решетчатый
eu-	норма
eu-	правильный
eu-	хороший
eucalyptus: i f	эвкалипт
euphyllinum	эуфиллин
eupnoe	нормальное дыхание
eurhythmia	привильный ритм
ex aqua	из воды
ex tempore	по мере требования
ex-, ec-	вовне
ex-, ec-	из
exceptio: onis f	исключение
excretorius	внешнесекреторный
exemplar: aris n	пример
exemplar: aris n	экземпляр
exemplum	пример
exitus letalis	смертельный исход
exoglossia	увеличение языка с выступанием из рта
exostosis	костный нарост
experimentum	научный опыт
experimentum	эксперимент
exsiccatus	высушенный
exstirpatio: onis f	искоренение
exstirpatio: onis f	экстирпация
externus	наружный
extra-, extero-, ecto-, exo-	вне-
extra-, extero-, ecto-, exo-	снаружи
extractum	экстракт
extrasystole: es f	экстрасистола
extremitas: atis f	конец
F	fluorum, phthorum
facialis	лицевой
facies: ei f	поверхность
facile	легко
factitius	искусственный
falsus	ложный
falsus	фальшивый
farfara	мать-и-мачеха
fascia	фасция
fasciculus atrioventricularis	Гиса пучок
fasciculus cuneatus	Бурдаха пучок
fasciculus gracilis	Голля пучок
fasciculus longitudinalis dorsalis	Бехтерева пучок
fauces: ium (pl)	зев
Fe	ferrum
febris: is f	лихорадка
felicitas: atis f	счастье
femina	женщина
femina, gyn(aec)-	женский
femina, gyn(aec)-	женщина
femininus	женский
femur: oris n	бедро
fibra	волокно
fibrinosus	лихорадочное
fibroma: atis n	фиброма
fibrosis: is f	фиброзное перерождение
fibrosus	фиброзный
fibula	малоберцовая кость
fibularis	малоберцовый
finio: ire IV	заканчивать
fissura	борозда
fissura	щель
flavus	желтый
flexura	изгиб
florenalum	флореналь
flos: floris m	цветок
flos: oris m	цветок
fluidus	жидкий (экстракт)
foetor ex ore	дурной запах изо рта
folium	лист
follium	лист
follium	листок
fonticulus: i	родничок
foramen: inis n	отверстие
foramina zonularia	Петитовы канальцы
formica	муравей
formosus	красивый
fornix: icis m	свод
fossa	яма
fossa	ямка (удлин.)
fovea	ямка (кругл.)
fractura	перелом
frangula	крушина
frenulum	уздечка
frons: ntis f	лоб
frontalis	лобный
fructus: us	плод
fundus: i	дно
funiculus umbilicalis, omphal-	пуповина
furacilinum	фурацилин
furaginum	фурагин
furazolidonum	фуразолидон
furor: oris m	бешенство
fuscus, melan-, neger	темный
fuscus, melan-, neger	черный
galact-, lac: lactis n	молоко
galact-, lac: lactis n	молочный
galanthus: i m	подснежник
ganglion	узел (нервный)
ganglion trigeminale	Гассеров узел
gangraena	разъедающая язва
gaster: tris f	желудок
gastr-, -gastria	желудок
gastricus	желудочный
gaudium	радость
gelatinosus	желатиновый
gemma	почка
geniohyoideus	подбородочно-подъязычный
genitalis	половой
genu: us n	колено
ger(i)-, geront-, senilis, senex: is m	сенильный
ger(i)-, geront-, senilis, senex: is m	старик
ger(i)-, geront-, senilis, senex: is m	старческий
gingiva	десна
glandula	железа
glandula parathyroidea	железа паращитовидная
glandula parotidea, glandula parotis: tidis f	железа околоушная
glandula parotis	околоушная железа
glandula serbacea	железа сальная
glandula sublingualis	железа подъязычная
glandula submandibularis	железа поднижнечечелюстная
glandula suprarenalis	надпочечник
glandula thyroidea	железа щитовидная
glandulae tarsales (веки)	Мейбомиевые железы
glandularis	железистый
glomus: i	клубок
gloss-, -glossia	язык
gluteus	ягодичный
gon-	колено
gradus: us	шаг
granulationes arachnoideae	Пахионовы грануляции
granum	зерно
gravida	беременная
graviditas abdominalis	внематочная беременность
graviditas: atis f	беременность
grossus	крупный
gutta	капля
gyri transversae temporales	Гешля извилины
gyrus: i	извилина
H	hydrogenium
habitus aegroti	общий вид больного
habitus: us	вид
habitus: us	внешность
habitus: us	наружность
hallus: ucis m	палец большой стопы
helianthus: i m	подсолнечник
hemi-, semi-	односторонний
hemi-, semi-	половинный
hemi-, semi-	полу-
hepar: atis n	печень
hepaticus	печеночный
herba	трава
heroicus	сильнодействующее
heter-	непохожий
heter-	разный
Hg	hydrargyrum
hidr-, sudor: oris m	пот
hierochloe	зубровка
hippophae: es f	облепиха
hirudo: inis f	пиявка
hist(o)-, textus	ткань
hom(e)-	одинаковый
hom(e)-	тождественный
homo: hominis m	человек
hostis: is m	враг
humerus: i	плечевая кость
humus: i f	земля
humus: i f	почва
hydr-	вода
hydr-	водород
hydr-, aqua	вода
hydr-, aqua	жидкость
hydr-, humor: oris m	жидкость
hydricus	водный
hydro-	кислая соль
hyoideus	подъязычный (кость)
hyper-, epi-, extra-, extero-	верх
hyper-, epi-, extra-, extero-	выше
hyper-, epi-, extra-, extero-	над
hypericum	зверобой
hypogastrium	подчревье
hypoglossus	подъязычный (нерв)
hyster-, metr-, -metra, -metrium	матка
I	iodum
ichthyolum	ихтиол
icterus: i	желтуха
ileum	кишка подвздошная
ileus: i	непроходимость кишечная
ileus: i	непроходимость кишечника
iliacus	подвздошный
imminens: entis	угрожающий
immunitas	иммунитет
immunitas	невосприимчивость
impotentia	бессилие
impressio: onis f	вдавление
imus: a um	на самой глубине
in ampullis	в ампулах
in capsulis	в капсула
in capsulis amylaceis	в крахмальных капсулах
in capsulis gelatinosis	в желатиновых капсулах
in oblatis	в облатках
in situ	локальный
in spritz-tubulis	в шприц-тюбиках
in tabulettis	в таблетках
in tabulettis obductis	в таблетках
in tabulettis obductis	покрытых оболочкой
in vitro	в лабораторных условиях
in vitro	в пробирке
in vitro nigro	в темной склянке
in vivo	на живом организме
in-, a-, an-	нет
in-, a-, an-	отрицание
in-, en-	в
in-, en-	на что
inaniter	напрасно
incertus	неверный
incipiens: entis	начинающийся
incisivus	резцовый
incisura	вырезка
incompletus	неполный
incretorius	внутреннесекреторный
index: icis m	палец указательный
indivisus	неразделенный
induratus	уплотненный
infans: ntis m/f	дитя
infans: ntis m/f	ребенок
infantilis	детский
infantilis	инфантильный
infantilisums	задержка развития
infarctus: us	инфаркт
infectio: onis f	инфекция
infectiosus	инфекционный
inferior: ius	нижний
infra-, sub-, hypo-	ниже
infra-, sub-, hypo-	под
infrahyoideus	подподъязычный
infraorbitalis	подглазничный
infrascapularis	подлопаточный
infusum	настой
ingenium	способность
ingenium	талант
inhalatio: onis f	ингалация
injectio: onis f	инъекция
innocens	безвредный
innocens: entis	безвредный
innocens: entis	безвредный
insanabilis	неизлечимый
insania	безумие
insanus	безумный
instantia	настойчивость
instantia	усердие
insufficientia	недостаточность
insulinum	инсулин
integer: gra grum	невредимый
integer: gra grum	неповрежденный
integratio: onis f	возобновление
integratio: onis f	восстановление
inter costas	между ребрами
inter-, meso-, dia-	между
interdum	иногда
intermittens: entis	интермиттирующий
intermittens: entis	перемежающийся
internus	внутренний
intestinalis	кишечный
intestinum	кишка
intestinum tenue	кишка тонкая
intra-, intro-, endo-, ento-	внутри-
irascor: irasci	впасть в ярость
iris: idis f	радужка
irregularis	нерегулярный
irrisor: oris m	насмешник
ischiadicus	седалищный
iso-	равный
iso-	соразмерный
isotonicus	изотонический
ita	так
jejum	кишка тощая
judex: icis m	судья
judicium	мнение
judicium	суждение
jugularis	яремный
jugum	возвышение
juniperus: i f	можжевельник
juvenilis	ювенильный
juvenilis	юношеский
K	kalium
kanamycinum	канамицин
kinem(at)-, kinet-, -kinesia	движение
lac: lactis n	молоко
lacrimalis	слезный
laesio: onis f	повреждение
laesus	поврежденный
laevomycetin	левомицетин
lamina	пластинка
lanolinum	ланолин
lapar-	брюшной
lapar-	живот
lapar-	чрево
lapsus: us	ошибка
largus	обширный
latens: entis	латентный
latens: entis	скрытый
lateralis	латеральный
latitudo: onis f	ширина
latus	широкий (фасция)
laxans: ntis	слабительный
lens: lentis f	хрусталик
lente	медленно
leonurus: i	пустырник
letalis	смертельный
levorinum	леворин
Li	lithium
libellus: i	книжка
libenter	охотно
liber: bri m	книга
liber: eru erum	свободный
libera: era erum	свободный
lidasum	лидаза
lien: enis m	селезенка
ligamentum	связка
limphaticus	лимфатический
lincomycinum	линкомицин
linea	линия
lingua	язык
lingualis	язычный
lingula	язычок
linimentum	линимент
linimentum	мазь жидкая
linum	лен
lip-, adeps: ipis m	жир
liquidus	жидкий (не экстракт)
liquor ammonii anisatus	капли анисово-нашатырные
liquor: oris m	жидкость (спинномозговая)
lith-, calcus: i	камень (конкремент)
lithiasis: is f	камнеобразование
lithiasis: is f	литиаз
lobulus: i	долька
lobus: i	доля
localis	локальный
localis	местный
locus	место
longitudenalis	продолный
longitudenalis	продольный
longus	длинный
longus	удлиненный
lumbalis	поясничный
lumbi: (pl)	поясница
lusus: us m	забава
lusus: us m	игра
luteus, xanth-	желтый
lux: lucis f	свет
lympha	лимфа
macr-	крупный
magister: tri m	наставник
magister: tri m	учитель
magistra	учительница
magnus	большой (непарный)
major: us/>большой	большой (парный)
malignus	злокачественный
malum	зло
malus	плохой
mamma	железа молочная
mandibula	нижняя челюсть
mandibularis	нижнечелюстной
manubrium	рукоятка
manus: us f	кисть
manuscriptum	рукопись
mare: is n	море
margo: inis m	край
mas: maris m	мужчина
massa	масса
massa pilularum	пилюльная масса
mast-	молочная железа
mastoideus	сосцевидный
maturus	зрелый
maxilla	верхняя челюсть
maxillaris	верхнечелюстной
maximus	наивысший (наибольший)
meatus: us	проход
meatus: us	ход
medialis	медиальный
medianus	срединный
medicamentum, pharmacon, remedium	лекарство
medicatus	медицинский
medicina	медицина
medicus	врач
medius	средний
medulla	мозг
medulla oblongata	мозг продолговатый
medulla ossium	мозг костный
medulla spinalis	мозг спинной
medullaris	мозговой
megal-, -megali(a)	большой
megal-, -megali(a)	увеличенный
mel-	щека
mel: mellis n	мед
melior: ius	лучший
membranaceus	перепончатый
membrum	конечность
membrum	член
memoria	память
meninx: ngis f	оболочка мозговая
meniscus: i	мениск
mens: mentis f	ум
mensis: is f	месяц
mentalis	подбородочный
mentha piperita	мята перечная
mentholum	ментол
mentum, -genia	подбородок
mesencephalon: i	мозг средний
mesocolon	брыжейка ободочной кишки
mesogastrium	брыжейка желудка
meta-	переход
metacarpus: i	пясть
metatarsus: i	плюсна
metathalamus	часть мозга позади зрительного бугра
metencephalon: i	мозг задний
meth-	метил
methacinum	метацин
methylandrostendiolum	метиландростендиол
methylenum coeruleum	метиленовый синий
methylii salicylas	метилсалицилат
methyloestradiolum	метилэстрадиол
methyluracilum	метилурацил
metus: us m	боязнь
metus: us m	опасение
metus: us m	страх
Mg	magnesium
microiodum	микройод
midicinalis	медицинский
migrans: antis	блуждающий
migrans: antis	мигрирующий
millefolium	тысячелистник
minimus	наименьший
minor: us	маленький (парный)
miraculum	чудо
misceo: ere II	смешивать
miseria	несчастье
mitosis: is f	митоз
mixtura	микстура
Mn	manganum
mobilis	подвижный
molaris	молярный (большой коренной)
mollis	мягкий
mollis, lept-, pius	мягкий
mollis, lept-, pius	нежный
mollis, lept-, pius	тоникй
monomycinum	мономицин
morph-, forma	вид
morph-, forma	строение
morph-, forma	форма
morphinum	морфин
mors: mortis f	смерть
mortalitas alta	высокая смертность
mos: moris m	нрав
mos: moris m	обычай
mucosa	слизистая (сущ. оболочка)
mucosus	слизистый
mulier: eris f	женщина
mundus: i	мир
mundus: i	мироздание
munus: eris n	дар
musculus abductor	мышца отводящая
musculus adductor	мышца приводящая
musculus buccinator	мышца щечная
musculus constructor	мышца-конструктор (сжиматель)
musculus corrugator	мышца сморщивающая
musculus cremater	мышца поднимающая яичко
musculus depressor	мышца опускающая
musculus dilatator	мышца расширяющая
musculus extensor	мышца-разгибатель
musculus flexor	мышца-сгибатель
musculus levator	мышца поднимающая
musculus masseter: eris m	мышца жевательная
musculus pronator	мышца-пронатор
musculus rotator: oris m	мышца вращающая
musculus sphincter	мышца-сфинктер
musculus supinator	мышца-супинатор
musculus tensor	мышца напрягающая
musculus: i	мышца
my(os)-, -mysium	мышечный
my(os)-, -mysium	мышца
myelosanum	миелосан
mylohyoideus	челюстно-подъязычный
N	nitrogenium
Na	natrium
naphthyzinum	нафтизин
narcosis: is f	наркоз
nasalis	носовой
nasus: i	нос
natura	природа
naturalis	естественный
naturalis	натуральный
necessarius	необходимый
necr-	мертвый
necr-	относ. к трупу
nemo: inis	никто
neo-	молодой
neo-	новый
neodicumarinum	неодикумарин
neomycinum	неомицин
neonatus: i	новорожденный
neoplasma: atis n	неоплазма
neoplasma: atis n	опухоль
nephr-	почка
nephrosis: is f	нефроз (дегенер. забол. поч. канальцев)
nervosus	нервный
nervus: i	нерв
neurosis: is f	невроз
nicotinum	никотин
niger: gra grum	черный
nisi	если не
nitens: entis	блестящий
nitroglycerinum	нитроглицерин
no-spa	ношпа
nocens: entis	вредный
nodulus: i	узелок
nodus atrioventricularis	Ашоффа-Тавары узел
nodus sinuatrialis	Киса-Флека узел
nodus: i	узел
nomen: inis n	имя
nomen: inis n	имя
nomen: inis n	название
non	не
non specificus	не специфичный
nonus	девятый
norsulfazolum	норсульфазол
nos	мы
nos-, morbus: i	болезнь
noster	наш
notus	известный
novem	девять
novocainum	новокаин
novomigrophenum	новомигрофен
nucha	выя
nucleus comissurae epithalamicae	Даркшевича ядро
nucleus intersticialis	Кахаля ядро
nucleus oculomotorius accessorius	Якубовича ядро
nucleus pectoralis	Кларка ядро
nucleus vestibularis inferior	Роллера ядро
nucleus vestibularis lateralis	Дейтерса ядро
nucleus vestibularis medialis	Швальбе ядро
nucleus vestibularis superior	Бехтерева ядро
nucleus: i	ядро
nullus	никакой
numerus: i	число
nunquam	никогда
nutricius	питательный
nystatinum	нистатин
O	oxygenium
obductus	покрытый оболочкой
oblata	крахмальная капсула
obliquus	косой
obliterans	облитерирующий
observatio: onis f	наблюдение
occipitalis	затылочный
occiput: itis n	затылок
occlusio: onis f	закупорка
octavus	восьмой
octo	восемь
octoestrolum	октоэстрол
oculus: i	зрение
oculus: i	отверстие
oculus: i	устье
odont-, -odontia	зуб
odor: oris m	запах
oedema: atis n	отек
oesophageus	пищеводный
oesophagus: i	пищевод
officina	аптека
officina	мастерская
officium	обязанность
oleandomycinum	олеандомицин
olecranon	олекранон (локтевой отросток)
oleosus	в масле
oleosus	масляный
oleum Helianthi	подсолнечное масло
oleum Olivarum	оливковое масло
oleum persicorum	персиковой масло
oleum Ricini	касторовое масло
oleum Ricini	масло клещевины
olig-	недостаточный
olig-	незначительный
oliva	маслина
oliva	олива
olivomycinum	оливомицин
omen: inis n	знак
omen: inis n	примета
omphal-, umbilicus: i	пупок
onc-, -oma, tumor: oris m	вздутие
onc-, -oma, tumor: oris m	опухоль
onych-, -onychia, unguis: is m	ноготь
oo-, ovum	яйцеклетка
oo-, ovum	яйцо
oophor-	яичник
operatio: onis f	действие
operatio: onis f	дело
operatio: onis f	хирургическое вмешательство
opinio: onis f	взгляд
opinio: onis f	мнение
opinio: onis f	представление
opticus	зрительный
opus: eris n	деятельность
opus: eris n	занятие
opus: eris n	работа
opus: eris n	труд
orasum	ораза
orbis: is m	круг
organismus: i	организм
organum	орган
organum, organon	орган
origanum	душица
origo: inis f	начало
origo: inis f	происхождение
orotas: atis m	оротат
os: oris n	рот
os: ossis n	кость
osarsolum	осарсол
osseus	костный
oste-	кость
osteoma: atis n	остеома
osteomyel-	костный мозг
ot-, -otia, auris: is f	ухо
ovarium	яичник
oxacillinum	оксациллин
oxacillinum-natrium: oxacillini-natrii	оксациллин
oxacyanidum	оксацианид
oxy-	кислота
oxy-	кислый
oxy-	присутствие кислорода
oxydulatus	закисный
oxydum	оксид
oxylidinum	оксилидин
oxytetracyclinum	окситетрациклин
P	phosphorus: i
pachy-	плотный
pachy-	твердый
paed(i)-, puer: eri m	дитя
paed(i)-, puer: eri m	ребенок
paeonia	пион
palatinus	небный
palatoglossus	небно-язычный
palatum	небо
palpebra	веко
palpitatio cordis	сердцебиение
palpitatio: onis f	биение
palpitatio: onis f	биение
pan-, pant-	весь
pan-, pant-	все (целиком)
pancreas: atis n	железа поджелудочная
pantocidus: i n	пантоцид
pantothenas: atis m	пантотенат
papaverinum	папаверин
papilla	сосочек
papillaris	сосочковый
paraacusia	ошибочное или извращенное восприятие слуховое
paraaesthesia	ложное ощущение
paraliticus	паралитический
paralysis: is f	паралич
parametrium/>околоносовой	околоматочная клетчатка
paresis: is f	паралич неполный
paresis: is f	парез
paries: etis m	стенка
parietalis	теменной
pars: partis m	часть
parvus	маленький (непарный)
pasta	паста
patella	надколенник
pater: tris m	отец
path-, -pathia, morbus: i	заболевание
patria	отечество
patria	родина
pax: pacis f	мир
Pb	plumbum
pelvicus	тазовый
pelvis	таз
pelvis renalis	лоханка почечная
pentoxylum	пентоксил
pepsinum	пепсин
per inhalationem	посредством ингаляции
per os	через рот
per rectum	через прямую кишку
per se	в чистом виде
pereo: ire	исчезать
perfectus	совершенный
perforatio	перфорация
perforatio	прободение
pericranium	наружная надкостница черепа
periculosus	опасный
periculosus	рискованный
periculum	опасность
perinaeum	пах
perinaeum	промежность
periosteum	надкостница
periton	брюшной
peritonealis	брюшинный
peroxydum	пероксид
persicum	персик
persistens	персистирующий
persistens	продолжающий оставаться
persona	лицо
persona	личность
pertubatio	продувание маточных труб
pes: pedis m	стопа
pessimus	наихудший
pestis: is f	чума
phac-, -phakia	хрусталик
phag-, -phagia	поедание
phag-, -phagia	пожирание
phagocytosis: is f	фагоцитоз
phalanx: ngis f	фаланга
pharmac-, medicamentum	лекарство
phen-	фенил
phenacetinum	фенацетин
phenazepamum	феназепам
phenobarbitalum	фенобарбитал
phenomenon	явление
phenoxymethylpenicillinum	феноксиметилпенициллин
phenylii salicylas	фенилсалицилат
phil-, -philia	предрасположенность
phil-, -philia	склонность
philosophus: i	философ
phleb-	вена
phob-, -phobia	боязнь
phon-, -phonia, sonus: i	звук
phren-, -phrenia	душа
phren-, -phrenia	разум
phren-, -phrenia	ум
phrenic-	диафрагмальный
phrenic-	относящ. к диафрагме
phthisis: is f	чесотка
phthoracizinum	фторацизин
phthorocortum	фторокорт
phthorotanum	фторотан
phthouracilum	фторурацил
phyll-	лист
pia mater: matris f	оболочка мягкая головного мозга
pigritia	лень
pilocarpinum	пилокарпин
pilula	пилюля
planta	подошва
plantago: inis f	подорожник
plastica	восстановительная операция
plastica	пластика
plastica	пластическая операция
platy-	плоский
platy-	уплощенный
platy-	широкий
platyphyllinum	платифиллин
pleura	плевра
plexus: us	сплетение
plica	складка
pneum(al)-	воздух в органе
pneum-, pneumon-	легкое
pneumonia	воспаление легких
pneumonia	пневмония
pod-, -podia	нога
pod-, -podia	стопа
podophyllinum	подофиллин
poli-	серый
pollex: icis m	палец большой кисти
pons: tis m	мост
populus: i	народ
porta, hilus: i	ворота
porus: i	отверстие
porus: i	пора
post mortem	после смерти
post-, meta-	позади
post-, meta-	после
posterior: ius	задний
postnatalis	послеродовой
potentia	мощь
potentia	сила
potestas: atis f	могущество
potestas: atis f	сила
praemium	вознаграждение
praemium	награда
praesenilis	предстарческий
praesens: entis	настоящий
praeter	за исключением
praxis: is f	практика
precor	молить
precor	упрашивать
premolaris	премолярный (малый коренной)
presente medico	в присутствии врача
primarius	первичный
primarius	первичный
primum	во-первых
primum	прежде всего
primus	первый
prior: ius	предыдущий
pro auctore	для автора
pro die	на день
pro die	суточная доза
pro dosi	на один прием
pro dosi	разовая доза
pro infantibus	для детей
pro injectionibus	для инъекций
pro narcosi	для наркоза
pro rentgeno	для рентгена
probabilis	вероятный
probabilis	правдоподобный
processus: us	отросток
proct-	задний проход
profecto	действительно
profecto	конечно
prognosis bona	прогноз хороший
prognosis dubia	прогноз сомнительный
prognosis letalis	прогноз смертельный
prognosis mala	прогноз плохой
prognosis optima	прогноз очень хороший
prognosis pessima	прогноз очень плохой
prognosis: is f	прогноз
prolapsis	выпадение органа
propionas: atis m	пропионат
proprius	собственный
prosencephalon: i	мозг передний
prostata	железа предстательная
protuberantia	выступ
proximalis	проксимальный
prudenter	разумно
pseud-	ложный
pseud-	мнимый
psoriasis: is f	кожная болезнь
psoriasis: is f	псориаз
psych-, -psychia	душа
psych-, -psychia	психика
psychosis: is f	психоз
pterigoideus	крыловидный
pubes: is f	лобок
publicus	общественный
puer: eri m	мальчик
puer: eri m	ребенок
pulcher: chra chrum	прекрасный
pulmo: onis m	легкое
pulmonalis	легочный
pulpa	мякоть
pulpa	пульпа
pulsus: sphygm-, -sphigmia	пульс
pulveratus	порошковый
pulvis: eris m	порошок
pupilla	зрачок
purificatus	очищенный (сыворотка)
purus	чистый
pyel-	лоханка (почечная)
pyloricus	привратниковый
pylorus: i	привратник
pyocidum	пиоцид
pyramis	пирамида
pyromecainum	пиромекаин
qualis	какой
quam	как
quam	нежели
quam	чем
quantum satis	сколько нужно
quartus	четвертый
quartus	четвертый
quasi	будто
quasi	словно
quaterni	по четыре
quattuor	четыре
quercus: us f	дуб
qui, quae, quod	какой
qui, quae, quod	который
quies: etis f	отдых
quies: etis f	покой
quilibet, quaelibet, quolibet	каждый
quinque	пять
quintus	пятый
quintus	пятый
quisquam, quidquam	кто-нибудь
quisquam, quidquam	что-нибудь
quivis, quaevis, quidvis	всякий
quoque	также
quoque	тоже
quot	сколько
rabies: ei f	бешенство
radialis	лучевой
radialis	радиальный
radius: i	лучевая кость
radix: icis f	корень
radix: icis f	корень
ramus: i	ветвь
rarus	редкий
ratio: onis f	метод
ratio: onis f	разум
ratio: onis f	способ
raunatinum	раунатин
reanimatio	оживление
recens: entis	свежий
recessus: us	карман
recessus: us	углубление
recipio: ere III	взять
recte	правильно
recte	прямо
rectificatus	очищенный
rectum	кишка прямая
rectus	прямой
recurrens	возвратный
refluxus: us	обратный ток
refluxus: us	рефлюкс
regio: onis f	область
regula	правило
reliquus	остальной
remedium	средство
ren: renis m	почка
repeto: ere III	повторять
resectio	полное удаление
resectio	резекция
respiratio	дыхание
retina	сетчатка
retinaculum	удерживатель
retro-, re-	за
retro-, re-	назад
retrosternalis	загрудинный
retroversio	наклонение назад
retroversio	поворот назад
rhachi-	столб позвоночный
rhaphe: es f	шов (мягкие тк.)
rheum	ревень
rhin-	нос
rhizoma: atis n	корневище
ribonucleasum	рибонуклеаза
rodens: entis	разъедающий
rosa	шиповник
rotundus	круглый (не мышца/связка)
ruber: bra brum	красный
rubor-tumor-calor-dolor et functio laesa	краснота-опухание-жар-боль и ухудшение функции (воспаление)
rubus idaeus	малина
ruptura	разрыв
rutinum	рутин
S	sulfur: uris n
saccharum	сахар
sacculus	мешочек
saccus: i	мешок
sacer: cra crum	крестцовый (кость)
sacralis	крестцовый (не кость)
sacrococcygeus	крестцово-копчиковый
saepe	часто
salazodimethoxinum	салазодиметоксин
saliva, sial-, -sialia	слюна
saliva, sial-, -sialia	слюнный
salping-	труба
saluber: bris bre	целебный
salus: utis f	благополучие
salus: utis f	здоровье
saluzidum	салюзид
salveo: ere II	здравствовать
salvia	шалфей
sanatio: onis f	излечение
sanatio: onis f	оздоровление
sanguineus	кровеносный
sanguis: inis m	кровь
sanitas: atis f	здоровье
sanus	здоровый
sapiens: entis	мудрый
sapiens: entis	разумный
sapo: onis m	мыло
sarcoma: atis n	саркома (рак мезенхимы)
satis	довольно
satis	достаточно
scapula	лопатка
scapularis	лопаточный
scatula	коробочка
schis-, -schisis	раскалывание (органа)
schis-, -schisis	расщепление
schizandra	лимонник
scientia	знание
scientia	наука
scler-	затвердение
scler-	твердый
sclera	белочная оболочка глаза
sclera	склера
scopolaminum	скополамин
scripto	написанный
se	себя
secretio	выделение
sectio cesario	кесарево сечение
secundarius	вторичный
secundarius	вторичный
secundus	второй
sed	а
sed	но
sedativus	седативный
sedativus	успокоительный
sedes morbi	место болезни
segmentum	сегмент
semen: inis n	семя
semper	всегда
senectus: utis f	старость
senex: senis m/f	старик
senna	сенна
separatio	отделение
septem:	семь
septicus	септический
septimus	седьмой
septum	перегородка
serotinus	поздний (зуб мудрости)
serum	сыворотка
seu	или
sex	шесть
sextus	шестой
sexus: us m	пол
Si	silicium
siccus	сухой
siderosis: is f	сидероз (отлож. солей железа)
signo: are I	обозначить
signum	знак
signum	примета
silvester: tris tre	лесной
similis	похожий
simplex: icis	простой
simplex: icis	простой
simplicitas: atis f	простота
sinister: tra trum	левый
sinus venosus sclerae	Шлеммов канал
sinus: us	синус
sirupus: i	сироп
situs: us m	положение
sive	или
skeleton	скелет
solitudo: inis f	одиночество
solubilis	растворимый
solus	единственный
solutio ammonii caustici	нашатырный спирт
solutio: onis f	раствор
somn-, dorm-, hypn-, -brom-	снотворное
somnus: i	сон
soror: oris f	сестра
spasmus: i	спазм
spasmus: i	судорога
spasticus	спастический
spasticus	судорожный
spatia anguli iridocornealis	Фонтановы пространства
spatium	промежуток
spatium	пространство
species: ei f (pl)	сбор
specificus	спецефичный
spes: ei f	надежда
sphenoidalis	клиновидный
spina	ость
spinalis	спинно-мозговой
spirituosus	спиртовой
spiritus	спирт
splanchn-	внутренние органы
splanchn-	внутренности
splen-	селезенка
spondyl-	позвонок
spurius	ложный
squama	чешуя
squamosus	чешуйчатый
stadium primum	первая стадия
stadium secundum	вторая стадия
stapes: edis m	стремя
statim	немедленно
status presens	настоящее состояние (в момент обследования)
sten-, -stenosis	стеноз
sten-, -stenosis	сужение
sten-, -stenosis	тесный
sten-, -stenosis	узкий
sterilis	стерильный
sterilisatus	стерилизованный
steriliso:	стерилизовать
stipes: itis m	стебель
stom(at)-	рот
stomachicus	желудочный (сбор
stomachicus	таблетка)
stratum	слой
streptocidum	стрептоцид
streptomycinum	стрептомицин
stroma: atis n	остов
stroma: atis n	строма
strophantinum	строфантин
strophantus: i m	строфант
strychninum	стрихнин
strychnos: i m	чилибуха
stupor: oris m	остолбенение
stupor: oris m	оцепенение
stupor: oris m	ступор
stylohyoideus	шило-глоточный
sub-	основная соль
subcutaneus	подкожный
submucosus	подслизистый
subtilis	мелкий
succus: i	сок
succus: i	сок
sudorifer: ere erum	потовый
sudorifer: ere erum	потогонный
sufficiens: entis	достаточный
sulcus centralis (cerebrum)	Роландова борозда
sulcus lateralis (cerebrum)	Сильвиева борозда
sulcus: i	борозда
sulfacilum	сульфацил
sulfadimethoxinum	сульфадиметоксин
sulfadimezinum	сульфадимезин
sulfamonomethoxinum	сульфамонометоксин
sulfapyridazinum	сульфапиридазин
sum, esse	быть
sum, esse	существовать
supercilium	бровь
superficialis	поверхностный
superior: ius	верхний
suppositorium	свеча
suppositorium	скппозиторий
suprahyoideus	надподъязычный
suprascapularis	надлопаточный
supremus	наивысший
suspensio: onis f	суспензия
sutura	шов (костный)
suus	свой
sympathicus	симпатический
symphysis	симфиз
symptoma: atis n	симптом
symptomata et diagnosis	симптомы и диагноз
synchondrosis	синхондроз
syndromum	синдром
synergismus	лекарственный синергизм
synoestrolum	синестрол
synthomycinum	синтомицин
systema: atis n	система
systole	систола
tabes: is f	сухотка
tabuletta	таблетка
tabuletta obducta	таблетка покрытая оболочкой
tach(y)-	быстрый
tach(y)-	скорый
tach(y)-	частый
talcum	тальк
tales	такие
talis	такой
talus: i	таранная кость
tam	столь
tamen	однако
tanninum	танин
tatracyclinum	тетрациклин
tegmen: inis f	крыша
tel(e)-	далекий
tel(e)-	конец
