acidum arsenicosum	кислота мышьяковистая
acidum ascorbinicum	кислота аскорбиновая
acidum benzoicum	кислота бензойная
acidum carbolicum	кислота карболовая
acidum carbonicum	кислота угольная
acidum citricum	кислота лимонная
acidum folicum	кислота фолиевая
acidum glutaminicum	кислота глутаминовая
acidum hydrochloricum	кислота хлористоводородная (соляная)
acidum hydrocyanicum	кислота синильная
acidum hydrocyanicum	кислота цианистая
acidum hydrosulfuricum	кислота кислота сероводородная
acidum lacticum	кислота молочная
acidum lipoicum	кислота липоевая
acidum nicotinicum	кислота никотиновая
acidum nitricum	кислота азотная
acidum nitrosum	кислота азотистая
acidum phosphoricum	кислота фосфорная
acidum salicylicum	кислота салициловая
acidum sulfuricum	кислота серная
acidum sulfurosum	кислота сернистая
acquisitus	приобретенный
acr-, -acria	дистальный отдел части тела
acr-, -acria	заостренный
acr-, -acria	конечность
acrichinum	акрихин
acromialis	акромиальный
acromion	акромион
actinomicosis: is f	актиномикоз
actio: onis f	действие
acusticus	акустический
acusticus	слуховой (tuba)
acusticus	слуховой
acutus	острый
ad	для
ad	до
ad	к
ad	при
ad decubitum	при пролежнях
ad usum externum, pro usu externo	для наружнего применения
ad usum internum, pro usu interno	для внутреннего применения
ad-, apo-	отдаление
addo: ere III	добавлять
aden-	железа
aden-	узел лимфатический
aden-, adenoides	аденоиды
adhibeo: ere II	применять
adhibeo: III	применить
adiposus	жирный
adiposus	жировой
aditus: us	вход
adjuvans: ntis	вспомогательный
adjuvans: ntis	помогающий
adjuvo: are I	помогать
adjuvo: are I	содействовать
adnexa	придатки
adonis: idis m/f	адонис
adonisidum	адонизид
adrenalinum	адреналин
adultus	взрослый
adultus	совершеннолетний
aeger: gra, grum	больной (прил)
aeger: gra, grum	нездоровый
aeger: gri m	больной
aegrotus	больной (прил)
aemulatio	соревнование
aequalis	равный
aeque	одинаково
aeque	равным образом
aer-, aer: aeris m	воздух
aer: aeris m	воздух
aeronum	аэрон
aerosolum	аэрозоль
Aesculapius: i	Эскулап
aesthesi-, -aesthesia	ощущение
aesthesi-, -aesthesia	чувствительность
aetas: atis f	возраст
aeternus	вечный
aeth-	этил
aethacridinum	этакридин
aethazolum	этазол
aether: eris m	эфир
aethereus	эфирный
aethereus	эфирный
aethinyloestradiolum	этинилэстрадиол
aethylicus	этиловый
aethylium	этил
aethylmorphinum	элилморфин
aeti-	причина болезни
aetiologia morbi	установление причины болезни
aevitum	аэвит
afferens: entis	афферентный
afferens: entis	приносящий
affero: afferre	приносить
Ag	argentum
agger: eris m	утолщение
agglutinatio	приклеивание
agito: are I	взбалтывать
agito: are I	двигать
agito: are I	приводить в движение
agnosco: ere III	признавать
agnosco: ere III	соглашаться
Al	aluminium
ala	кpыло
alaris	крыльный
albumen: inis n	белок
albumen: inis n	белок
albus	белый
alcohol: olis n	алкоголь
alcoholicus	алкогольный
alea	жребий
alg-, -algia, algesia, -odynia	болезненная чувствительность
alg-, -algia, algesia, -odynia	боль
alienus	чужой
alimentarius	алиментарный
alimentarius	пищевой
alius	другой
all-	другой
all-	измененный
all-	иной
all-	необычный
allergicus	аллергический
alo: ere III	вскармливать
alo: ere III	поддерживать
aloe: es f	алоэ
aloe: es f	сабур
alopecia	алопеция
alter: era, erum	другой
alter: era, erum	один из двух
alternans: antis	переменный
alternans: antis	чередующийся
althaea	алтей
altus	высокий
alumen: inis n	квасцы (алюмо-калиевые)
alveolaris	альвеолярный
alveolus: i	альвеола
amabilis	милый
amabilis	приятный
ambravena	амбравена
amens: entis	безумный
amica	подруга
amicitia	дружба
amicus: i	друг
amidopyrinum	амидопирин
aminazinum	аминазин
ammoniatus	аммиачный
amnion	амнион
amoebiasis: is f	амебиаз
amorphus	аморфный
ampicillinum	ампициллин
ampulla	ампула
ampullaris	ампулярный
amputatio	ампутация
amygdala	миндаль (плод)
amygdalus: i f	миндаль (дерево)
amyl-	амил
amylaceus	крахмальный
amylium	амил
amyloidosis: is f	амилоидоз (отлож. амилоид)
amylum	крахмал
ana	по
ana	поровну
ana-	возобновление
ana-	направленное вверх
anabiosis	анабиоз
anacrota	восходящая часть пульсовой волны
anaesthesinum	анестезин
analgesia	устранение или отсутствие боли
analginum	анальгин
analis	анальный
anamnesis	анамнез
anamnesis	воспоминание
