醋氨酚	Acetaminophen
Definition of Primary Mode of Action of a Combination Product	《复合产品首要作用模式的定义》
defintion	定义
defoliating agent	脱叶剂
defoliation	脱叶
deformylase	去甲酰酶[见于原核细胞，作用于甲酰甲硫氨酸]
degasser	脱气装置
degassing	脱气，除气
degeneracy	简并；简并性，简并度
degenerate	简并的
degenerate code	简并密码
degenerate codon	简并密码子
degenerate oligonucleotide	简并寡核苷酸
degenerate PCR	退化性聚合?链反应
degenerate primer	简并引物
degenerate sequence	简并序列
degeneration	退化，变性
degenerative osteoarthropathy	退行性骨关节炎
degenerin	退化蛋白[与某些感觉神经元的退化有关]
deglycosylation	去糖基化
degradable polymer	降解性高分子
degradation	降解
degranulation	脱（颗）粒（作用）
degree of acidity	酸度
degree of dominance	显性度
degree of polymerization	聚合度
degron	降解决定子[决定某一蛋白发生降解或部分降解的序列要素]
deguelin	鱼藤素
dehalogenation	脱卤（作用）
dehardening	解除锻炼
dehumidifier	除湿器
dehydratase	脱水酶
dehydrated medium	干燥培养基
dehydration	脱水（作用）
Dehydroacetic Acid	脫氫醋酸 防腐劑
dehydroepiandrosterone	脱氢表雄酮
dehydrogenase	脱氢酶
dehydrogenation	脱氢（作用）
dehydroluciferin	脱氢萤光素
deionization	去离子（作用）
deionized	去离子的
deionized water	去离子水
deionizing	去离子（处理）
delay	延迟
delay time	延迟时间
delayed early transcription	（延）迟早期转录[可特指病毒]
delayed fluorescence	延迟荧光
delayed heat	延迟热
delayed hypersensitivity	延迟（型）超敏反应
delayed ingeritance	延迟遗传
delayed reconstruction	延迟重建
delayed type hypersensitivity	迟发型超敏反应
deletant	缺失体
deletion	ȱʧ
deletion mapping	缺失定位，缺失作图
deletion mutagenesis	缺失诱变
deletion mutant	缺失突变体
deletion mutantion	缺失突变
deletional recombination	缺失重组
Delicate Care Hydrating Fluid for Sensitive Skin Types	细致水分滋润露（敏感肤质）
Delicate Care Toner for Sensitive Skin types	细致柔和爽肤水（敏感）
delignification	脱木质化（作用）
deliquescence	潮解
delivery flask	分液瓶
delocalized bond	离域键
deltorphin	delta啡肽[见于叶泡蛙皮肤，对delta阿片样肽受体的亲和力和选择性很强]
demasking	解蔽
dementia	痴呆
demethylation	脱甲基化
demineralized water	脱矿质水
demulsifier	破乳剂
demyelination	脱髓鞘
denaturant	变性剂
denaturant gel	变性凝胶
denaturation	变性（作用）
denatured	变性的
denatured DNA	变性DNA
denatured protein	变性蛋白（质）
denaturing gel	变性凝胶
denaturing gel electrophoresis	变性凝胶电泳
denaturing gradient polyacrylamide gel	变性梯度聚丙烯酰胺凝胶
denaturing polyacrylamide gel	变性聚丙烯酰胺凝胶
dendrite	树突
dendritic cell	树状细胞
dendrotoxin	树眼睛蛇毒素
dengue virus	登革病毒
denitrification	反硝化作用
denitrifying bacteria	反硝化细菌
denitrogen	排氮
densimeter	密度计
densitometer	光密度计
densitometry	光密度（测定）法
density	密度
density gradient	密度梯度
density gradient centrifugation	密度梯度离心
density gradient electrophoresis	密度梯度电泳
densovirus	浓核病毒
dentritic cell	树枝状细胞
dentures	假牙
Denver system	[染色体组型]丹佛体制
deoxyadenosine	脱氧腺苷
deoxyadenosine moniphosphate	脱氧腺苷（一磷）酸
deoxyadenosine triphosphate	脱氧腺苷三磷酸
deoxyadenylate	脱氧腺苷酸
deoxyadenylic acid	脱氧腺苷酸
deoxycholate	脱氧胆酸盐
deoxycorticosterone	脱氧皮质酮
deoxycytidine	脱氧胞苷
deoxycytidine monophosphate	脱氧胞苷（一磷）酸
deoxycytidine triphosphate	脱氧胞苷三磷酸
deoxycytidylate	脱氧胞苷酸
deoxycytidylic acid	脱氧胞苷酸
deoxyformycin	脱氧型霉素
deoxygenation	脱氧
deoxyglucose	脱氧葡萄糖
deoxyguanosine	脱氧鸟苷
deoxyguanosine monophosphate	脱氧鸟苷（一磷）酸
deoxyguanosine triphosphate	脱氧鸟苷三磷酸
deoxyguanylate	脱氧鸟苷酸
deoxyguanylic acid	脱氧鸟苷酸
deoxyhemoglobin	脱氧血红蛋白，去氧血红蛋白
deoxyinosine	脱氧肌苷，脱氧次黄苷
deoxyinosine triphosphate	脱氧肌苷三磷酸，脱氧次黄苷三磷酸
deoxynivalenol	脱氧萎镰菌醇
deoxynucleoside	脱氧核苷
deoxynucleoside methylphosphonate	脱氧核苷膦酸甲酯
deoxynucleoside phosphoramidite	脱氧核苷亚磷酰胺
deoxynucleotide	脱氧核苷酸
deoxyriboaldolase	脱氧核糖醛缩酶
deoxyribomutase	脱氧核糖变位酶
deoxyribonuclease	脱氧核糖核酸酶，DNA酶[包括DNA酶I、DNA酶II等]
deoxyribonucleic acid	脱氧核糖核酸
deoxyribonucleoside	脱氧（核糖）核苷
deoxyribonucleoside diphospahte	脱氧核糖核一磷酸
deoxyribonucleoside diphosphate	脱氧（核糖）核苷二磷酸
deoxyribonucleoside hydrogenphosphonate	脱氧（核糖）核苷氢膦酸酯
deoxyribonucleoside methylphosphonate	脱氧（核糖）核苷膦酸甲酯
deoxyribonucleoside monophospahte	脱氧核糖核二磷酸
deoxyribonucleoside monophosphate	脱氧（核糖）核苷（一磷）酸
deoxyribonucleoside phosphoramidite	脱氧（核糖）核苷亚磷酰胺
deoxyribonucleoside triphospahte	脱氧核糖核三磷酸
deoxyribonucleoside triphosphate	脱氧（核糖）核苷三磷酸
deoxyribonucleotide	脱氧（核糖）核苷酸
deoxyribose	脱氧核糖
deoxysugar	脱氧糖
deoxythymidine	脱氧胸腺嘧啶核苷，脱氧胸苷
deoxythymidine monophosphate	脱氧胸苷（一磷）酸
deoxythymidine triphosphate	脱氧胸苷三磷酸
deoxythymidylate	脱氧胸苷酸
deoxythymidylic acid	脱氧胸苷酸
deoxyuridine	脱氧尿苷
deoxyuridine monophosphate	脱氧尿苷（一磷）酸
deoxyuridylate	脱氧尿苷酸
deoxyuridylic acid	脱氧尿苷酸
depactin	[肌动蛋白]蚕食蛋白
Department of Homeland Security	国土安全部
Department of Justice	司法部
dependovirus	依赖病毒（属）[模式成员是腺伴随病毒]
dephasing	失相位
dephasing rate	失相位率
dephosphorylation	去磷酸化（作用）
deplasmolysis	质壁分离复原
depletion	耗竭，除尽
depolarization	去极化，脱极化；解偏振（作用）
depolarizing muscle relaxant	去极化类肌松剂
depollution	去污染
depolymerase	解聚酶
depolymerization	解聚
deposit	沉积；沉积物
deposition	沉积（作用）；沉积物
depressed	降低的
depressed	脱阻抑的
depression	脱阻抑；压抑
deprivation	除去，丧失
deprived	除去的，丧失的
depropagation	负增长反应，逆增长反应
deprotection	脱保护
deprotonation	去质子化，脱质子化
depurination	脱嘌呤（作用）
derepressed	脱阻抑的
derepression	脱阻抑
derivative	衍生物
derivatization	衍生化（作用）
derivave spectrum	导数光谱
Dermabacter hominis	人皮肤杆菌
Dermacoccus nishinomiyaensis	西宫皮肤球菌
dermatan sulfate	硫酸皮肤素
dermatogen	表皮原
dermatoglyphics	肤纹学
Dermatological Cleansing Bar	润肤洁面皂
dermatonecrotoxin	皮肤坏死毒素
dermatophagoides	嗜皮螨属
dermenkaphaline	皮脑啡肽
dermis	真皮
dermorphin	皮啡肽
desalting	脱盐
detection pulse	探测脉冲
detection pulse angle	探测脉冲角
Detector	检测器
detector	检测器
detector coil	探测线圈
detention	滞留
detention order	扣留令
detention time	滞留时间
detergent	去污剂，除垢剂，洗涤剂
deterioration	（生物）致劣，恶化
determinant	决定簇；决定子[用于胚胎学]；决定因素
determination	测定
determination limit	测定限
detoxication	解毒
detoxification	解毒
detritus	碎屑；腐屑
detritylation	脱（除）三苯甲基
deuteromycetes	半知菌纲
deutertion	氘化
deutoplasm	滋养层，卵黄质
developing solvent	展开剂
developing tank	展开槽
Development and Use of Risk Minimization Action Plans	《风险最小化行动计划的制定与使用》
development folder	显影夹
development info	发展信息
developmental biology	发育生物学
developmental genetics	发育遗传学
developmental malformation	发育畸形
developmental phase	发育期
developmental regulation	发育调节，发育调控
developmental rhythm	发育节律
developmental stage	发育阶段
developmentally regulated expression	由发育（所）调节的表达
devernalization	脱春化
device	设备
dexamethasone	地塞米松，9-alpha-氟-16-甲基脱氢皮质醇
dextran	葡聚糖，右旋糖酐
dextran bead	葡聚糖珠
dextran sulfate	葡聚糖硫酸酯
dextranase	葡聚糖酶
dextrin	糊精
dextroisomer	右旋异构体
dextrorotary	右旋的
dextrorotatory	右旋的
dextrose	葡聚糖
DHA	[=docosahexaenoic acid]二十二碳六烯酸
DHS	[=Department of Homeland Security]国土安全部
DHS信息分析及基础设施保护组	Information Analysis and Infrastructure Protection
di-phosphorylated form	二磷酸化结构
diabetes mellitus	糖尿病
diabetic peripheral neuropathy	糖尿病性周围神经病变
diabetic test strips	糖尿病测试条
diacetoxyscirpenol	蛇形菌素
diacylglycerol	二酰甘油
diad	二分体，二联体
diadric	雄异配（性）的
diafiltration	渗滤[溶液通过滤器进行连续循环]
diagnosis	诊断
Diagnosis and Management of Foodborne Illnesses: A Primer for Physicians and Other Health Care Professionals	食源性疾病的诊断和管理：给内科医生和其它医疗保健专业人士的读本
diagnositc work station (DWS)	诊断工作台
diagnostic enzyme	诊断酶
diagnostic kit	诊断试剂盒
diagnostic procedure	诊断程序，诊断手续
diagnostic reagent	诊断试剂
diagnostics	诊断学
diagonal	对角线；对角线的
diagonal chromatography	对角线层析
diagonal electrophoresis	对角线电泳
diagynic	雌异配（性）的
diakinesis	终变期
dialkylglycine	二烷基甘氨酸
dialkylglycine decarboxylase	二烷基甘氨酸脱羧酶
diallel cross	双列杂交[用于进化遗传学]
dialog box	对话框
dialog box = dialog	对话框
dialysate	透析物，透析液
dialysis	透析
dialysis apparatus	透析仪，透析装置
dialysis bag	透析袋
dialysis cultivation	透析培养
dialysis fermentation	透析发酵
dialysis membrane	透析膜
dialysis tube	透析袋
dialysis tubing	透析袋，透析管
dialyzable	可透析的
dialyzate	透析液
dialyzator	透析仪
diamagnetic compound	抗磁化合物
diamagnetism	抗磁性
diaminedichloroplatinum	二胺二氯铂
diaminobenzidine	二氨基联苯胺
diaminopimelate	二氨基庚二酸，二氨基庚二酸盐、酯、根
diaminopimelic acid	二氨基庚二酸
dianisidine	邻联茴香胺
dianthovirus	香石竹病毒组[一组植物病毒，模式成员是香石竹环斑病毒]
diapause hormone	滞育激素
diapedesis	血细胞渗出[血细胞从血管内渗出]
diaphragm	膈肌
diaphragm	隔膜
diaphysis	骨干
diarrhea	腹泻
diastase	淀粉酶制剂
diastereomer	非对映（异构）体
diastereotopic	非对映异位的[在分子整体中，碳原子上互为非对映关系的原子、基团或面]
diastole	心舒期
diatomaceous earth	硅藻土
Diatomite	硅藻土
diatrizoate	3,5-双（乙酰氨基）-2,4,6-三碘苯甲酸（盐）
diauxie growth curve	双峰生长曲线
diazepian	安定
diazo	重氮基
diazo compound	重氮化合物
diazoacridine	重氮吖啶
diazobenzyloxymethyl paper	重氮苄氧甲基纸，DBM纸
Diazolidinyl Urea	尿素醛 防腐劑，會釋放甲醛(Formaldehyde)，會刺激皮膚，長期使用有致癌之虞
diazonorleucine	重氮基正亮氨酸
diazophenylthio paper	重氮苯硫醚纸，DPT纸
diazotization	重氮化
diazouridine	重氮尿苷
dibucaine	狄步卡因
Dibutyl Phthalate(DBP)	磷苯甲酸二丁酯 塑化、潤滑、驅蟲，但是會造成新生兒天生缺陷，故已禁止使用
Dibutylhydroxytoluene	羥基甲苯二丁酯 是酸化防止劑
dicaine	的卡因
Dicaprylyl Ether	增加使用觸感，使肌膚光滑
dicarboxyl cellulose	二羧基纤维素
dicarboxylic acid	二羧酸
dicarboxylic amino acid	二羧基氨基酸
dicentric chromosome	双着丝染色体
Dichloroacetic Acid	二氯醋酸 刺激麥拉寧色素由角質層剝落
dichlorodimethylsilane	二氯二甲硅烷
dichlorofluorescein	二氯荧光黄
dichloromethane	二氯甲烷
dichlorovos	敌敌畏
dichogamy	雌雄（蕊）异熟
dichroism	二色性
Dick test	狄克试验[链球菌红斑毒素的皮肤试验]
DICOM export server	DICOM 输出服务器
DICOM export server dispatcher	DICOM 输出服务器命令控制
DICOM export server worker	DICOM 输出服务器工作者
DICOM import server	DICOM 输入服务器
DICOM import server dispatcher	DICOM 输入服务器命令控制
DICOM import server worker	DICOM 输入服务器工作者
DICOM printer	DICOM 打印机
DICOM Worklist Management	DICOM 工作表管理
dicotyledons	双子叶植物
dicoumarin	双羟香豆素，败坏翘摇素
dictyosome	（分散）高尔基体
dictyostelium	盘基网柄菌属，网柄菌属
dicyclohexylcarbodiimide	二环己基碳二亚胺[常用缩合剂]
didanosine	[商]2',3-双脱氧肌苷
didehydrothymidine	双脱氢胸苷
dideoxy sequencing method	双脱氧测序法
dideoxyadenosine triphosphate	双脱氧腺苷三磷酸
dideoxycytidine	双脱氧胞苷
dideoxycytidine triphosphate	双脱氧胞苷三磷酸
dideoxyguanosine	双脱氧鸟苷
dideoxyguanosine triphosphate	双脱氧鸟苷三磷酸
dideoxyinosine	双脱氧肌苷
dideoxyribonucleoside	双脱氧核苷
dideoxyribonucleoside triphosphate	双脱氧核苷三磷酸
dideoxythymidine triphosphate	双脱氧胸苷三磷酸
dielectric constant	介电常数
dielectric effect	介电效应
dielectrometric titration	介电（常数）滴定（法）
dielectrometry	介电（常数）滴定（法）
dielectrophoresis	介电（电）泳
diene	˫ϩ
Dietary Supplement Health and Education Act	《饮食补充剂健康和教育法》
dietary supplements	饮食补充剂
diethyl pyrocarbonate	焦碳酸二乙酯
diethyl sulfate	硫酸二乙酯
diethylstilbestrol	乙酚，二乙基己烯雌酚
Dietzia spp	迪茨菌属某些种
difference Image	差异图像
difference spectrum	差异光谱
difference spectrum	差光谱
differential	（示）差的，鉴别的；微分；微分的
differential analysis	示差分析
differential centrifugation	差速离心
differential detection	示差检测，鉴别检测
differential expression	差异表达
differential flotation centrifugation	差速浮式离心
differential hybridization	示差杂交（法）
differential medium	鉴别培养基
differential operation	示差操作
differential permeability	差别透性，选择透性
differential precipitation	示差沉淀
differential refractive index detector	示差折光率检测器
differential scattering	差散射
differential screening	示差筛选
differential sedimentation	差速沉降
differential sepctrophotometry	示差分光光度法
differential species	区别种
differential spectrum	（示）差光谱
differential staining	鉴别染色（法）
differential staining technique	鉴别染色技术[有时特指染色体显带技术]
differential type detector	微分型检测仪
differentiating solvent	鉴别剂，区分溶剂
differentiation	分化
differentiation antigen	分化抗原
digitoxigenin	毛地黄毒苷配基；beta-(丁烯酸内酯)-14-羟甾醇
digitoxin	毛地黄毒苷
digitoxin	毛地黄毒苷
diglyceride	甘油二酯
diglyceride	甘油二酯
digoxigenin	洋地黄毒苷,地高辛配基
digoxigenin	洋地黄毒苷，地高辛配基
digoxin	异羟基洋地黄毒苷原,地高辛
digoxin	异羟基洋地黄毒苷原，地高辛
dihaploid	双单倍体
dihaploid	双单倍体
dihedral angle	二面角,双面角
dihedral angle	二面角，双面角
dihydro-pyrimidin	二氢嘧啶
dihydrobiopterin	二氢生物蝶呤
dihydrobiopterin	二氢生物蝶呤
dihydrochalcone	双氢查耳酮,二氢查耳酮
dihydrochalcone	双氢查耳酮，二氢查耳酮
dihydroetorphine hydrochloride	盐酸二氢依(埃)托啡
dihydrofolate	二氢叶酸
dihydrofolate	二氢叶酸
dihydrofolate reductase	二氢叶酸还原酶
dihydrofolate reductase	二氢叶酸还原酶
dihydrolipoamide	二氢硫辛酰胺
dihydrolipoamide	二氢硫辛酰胺
dihydrolipoamide dehydrogenase	二氢硫辛酰胺脱氢酶
dihydrolipoamide dehydrogenase	二氢硫辛酰胺脱氢酶
dihydrolipoic acid	二氢硫辛酸
dihydrolipoic acid	二氢硫辛酸
dihydroorotase	二氢乳清酸酶
dihydroorotase	二氢乳清酸酶
dihydroorotate	二氢乳清酸
dihydroorotate	二氢乳清酸
dihydropteridine	二氢蝶啶
dihydropteridine	二氢蝶啶
dihydropteridine reductase	二氢蝶啶还原酶
dihydropteridine reductase	二氢蝶啶还原酶
dihydropyridine	二氢吡啶
dihydropyridine	二氢吡啶
dihydrotestosterone	双氢睾酮
dihydrotestosterone	双氢睾酮
dihydrouracil	二氢尿嘧啶
dihydrouracil	二氢尿嘧啶
dihydrouracil arm	二氢尿嘧啶臂
dihydrouracil arm	二氢尿嘧啶臂
dihydrouracil loop	二氢尿嘧啶环
dihydrouracil loop	二氢尿嘧啶环
dihydrouridine	二氢尿苷
dihydrouridine	二氢尿苷
dihydroxyacetone phosphate	二氢丙酮磷酸
dihydroxyacetone phosphate	二氢丙酮磷酸
dihydroxycholecalciferol	二羟胆钙化(固)醇
dihydroxycholecalciferol	二羟胆钙化（固）醇
dihydroxyphenylanaline	二羟苯丙氨酸,多巴
dihydroxyphenylanaline	二羟苯丙氨酸，多巴
dihydroxyphenylethylamine	二羟苯基乙胺,羟酪胺,多巴胺
dihydroxyphenylethylamine	二羟苯基乙胺，羟酪胺，多巴胺
diisopropylfluorophosphate	二异丙基氟磷酸
diisopropylfluorophosphate	二异丙基氟磷酸
Diisopstearate	二異硬脂酸酯 硬脂酸的衍生物，潤滑劑
Diisostearyl Malate	基質
dikaryon	双核体
dikaryon	双核体
dilated congestive cardiomyopathy	扩张性心肌病
dilation of cervix	宫颈扩张
diltiazem	硫氮 酮
diltiazem	硫氮 酮
diluent	稀释剂,稀释液
diluent	稀释剂，稀释液
dilution cloning	稀释克隆法
dilution cloning	稀释克隆法[如用于获得细胞克隆株]
dilution-plate method	稀释平板分离法
dimensional electrophoresis	双向电泳
dimensional electrophoresis	双向电泳
dimer	二聚体
dimer	二聚体
dimerization	二聚化
dimerization	二聚化
dimerization cofactor	二聚化辅因子
dimerization cofactor	二聚化辅因子
Dimethicone	保濕、潤澤，可在皮膚上形成一層薄膜，增加皮膚觸感
Dimethicone Copolyol	矽氧烷 乳化劑，有潤膚功效
dimethoxytrityl	二甲氧三苯甲基
dimethoxytrityl	二甲氧三苯甲基[在DNA合成中用作羟基保护剂]
dimethyl sulfate	硫酸二甲酯
dimethyl sulfate	硫酸二甲酯
dimethyl sulfoxide	二甲基亚砜
dimethyl sulfoxide	二甲基亚砜
dimethylallylpyrophosphate	二甲烯丙基焦磷酸
dimethylallylpyrophosphate	二甲（基）烯丙基焦磷酸
dimethylaminoazobenzene	二甲基氨基偶氮苯
dimethylaminoazobenzene	二甲基氨基偶氮苯
dimethylformamide	二甲基甲酰胺
dimethylformamide	二甲基甲酰胺
Diminish Retinol Treatment	夜间紧肤抗皱精华露
dimmed	暗淡的
Dimonium Chloride Phosphate	乳化劑
dimorphism	二态二氢,双态现象
dimorphism	二态二氢，双态现象
dinitro benzene	二硝基苯
dinitro benzene	二硝基苯
dinitrochlorobenzene	二硝基氯苯
dinitrochlorobenzene	二硝基氯苯
dinitrofluorobenzene	二硝基氟苯
dinitrofluorobenzene	二硝基氟苯
dinitrogen	双氮,分子氮
dinitrogen	双氮，分子氮
dinitrogenase	固氮酶
dinitrogenase	固氮酶
dinitrogenase reductase	固氮酶还原酶
dinitrogenase reductase	固氮酶还原酶
dinitrophenol	二硝基苯酚
dinitrophenol	二硝基苯酚
dinitrophenyl	二硝基苯基
dinitrophenyl	二硝基苯基
dinoflagellate	甲藻
dinoflagellate	甲藻
dinoxanthine	甲藻黄素
dinoxanthine	甲藻黄素
dinucleotide frequency	二核苷酸频率
dinucleotide frequency	二核苷酸频率
dinucletide	二核苷酸
dinucletide	二核苷酸
diodeelectrode	二极管电极
diodeelectrode	二极管电极
dioecism	雌雄异体,雌雄异株
dioecism	雌雄异体，雌雄异株
diosgenin	薯蓣皂苷配基,薯蓣皂苷元
diosgenin	薯蓣皂苷配基，薯蓣皂苷元
dioxide	二氧化物
dioxide	二氧化物
Dioxybenzone	化學性防曬成分，屬苯甲酮類
dioxygen	双氧
dioxygen	双氧
dioxygenase	双加氧酶
dioxygenase	双加氧酶
dipeptidase	二肽酶
dipeptidase	二肽酶
dipeptide	二肽
dipeptide	二肽
diphenylamine blue	二苯胺蓝
diphenylamine blue	二苯胺蓝
diphenyloxazole	二苯基唑
diphenyloxazole	二苯基唑
diphosphate	二磷酸
diphosphate	二磷酸
diphosphatidylglycerol	双磷脂酰甘油
diphosphatidylglycerol	双磷脂酰甘油
diphosphoglycerate	二磷酸甘油酸
diphosphoglycerate	二磷酸甘油酸
diphosphoglycerate shunt	二磷酸甘油酸支路
diphosphoglycerate shunt	二磷酸甘油酸支路
diphosphoinositide	二磷酸肌醇磷脂,磷脂酰肌醇磷酸
diphosphoinositide	二磷酸肌醇磷脂，磷脂酰肌醇磷酸
diphthamide	白喉酰胺
diphthamide	白喉酰胺
diphthera toxin	白喉毒素
diphthera toxin	白喉毒素
dipicolinic acid	2,6-吡啶二羧酸
dipicolinic acid	2,6-吡啶二羧酸
diplobacillus	双杆菌
diplobacillus	双杆菌
diploblastic	双胚层的
diploblastic	双胚层的
diplococcus	双球菌
diplococcus	双球菌
diplococcus pneumoniae	肺炎双球菌
diplococcus pneumoniae	肺炎双球菌
diploid	二倍体
diploid	二倍体
diploid cell line	二倍体细胞系
diploid cell line	二倍体细胞系
diploidization	二倍化
diploidization	二倍化
diploidy	二倍性
diploidy	二倍性
diplonema	双线期
diplonema	双线期
diplotene stage	双线期
diplotene stage	双线期
dipolar	偶极的
dipolar aprotic solvent	偶极非质子溶剂
dipolar aprotic solvent	偶极非质子溶剂
dipolar protophilic solvent	偶极亲质子溶剂
dipolar protophilic solvent	偶极亲质子溶剂
dipolar protophobic solvent	极疏质子溶剂
dipolar protophobic solvent	极疏质子溶剂
dipole	偶极
dipole	偶极
dipole molecule	偶极分子
dipole molecule	偶极分子
dipole moment	偶极矩
dipole moment	偶极矩
dipole-dipole interaction	偶极-偶极相互作用,偶极间相互作用
Dipotassium Glycyrrhiziate	甘草酸鉀 預防過敏
dipyrromethane	联吡咯甲烷
dipyrromethane	联吡咯甲烷
dir scoop	进气口
dir separator	空气分离器
direct cross	正交
direct cross	正交
direct duplication	同向重复
direct duplication	同向重复
direct insertion	同向插入
direct insertion	同向插入
direct repeat	同向重复(序列)
direct repeat	同向重复（序列）
direct selection	正选择
direct selection	正选择[使用只有突变体或重组体能生长的条件进行选择]
directed cloning	定向克隆
directed cloning	定向克隆
directed donor	指定供体
directed mutagenesis	定向诱变
directed mutagenesis	定向诱变
directed perturbation	定向微扰
directed perturbation	定向微扰
directed sequencing	定向测序
directed sequencing	定向测序
direction selectivity	方向选择性
direction selectivity	方向选择性
directional cloning	定向克隆
directional cloning	定向克隆
Directions for Use	用法说明
directives	指令
disable	失去功能
Disabled	伤残的
disabled	伤残的
disaccharide	二糖
disaccharide	二糖
disassembly	解装配,分解
disassembly	解装配，分解
disc cartridge	磁盘荚
disc electrophoresis	圆盘电泳
disc electrophoresis	圆盘电泳
disc gel electrophoresis	圆盘凝胶电泳
disc gel electrophoresis	圆盘凝胶电泳
disc membrane	圆盘膜
disc membrane	圆盘膜
discard	放弃
discharge	放电,卸下
discharge	放电；卸下
discoidal cleavage	盘状卵裂
discoidal cleavage	盘状卵裂
discoloration of cervix	宫颈着色
discontinuous epitope	非连续表位
discontinuous epitope	非连续表位
discontinuous gradient	不连续梯度
discontinuous gradient	不连续梯度
discontinuous replication	不连续复制
discontinuous replication	不连续复制
discontinuous variation	不连续变异
discontinuous variation	不连续变异
discontinuous zone electrophoresis	不连续区带电泳
discontinuous zone electrophoresis	不连续区带电泳
discrete	分立的,不连续的
discrete	分立的，不连续的
discrete Fourier transform (DFT)	离散式傅立叶变换
discriminant analysis	判别分析
discriminant analysis	判别分析
discrimination	辨别,判别
discrimination	辨别，判别
disease association	疾病相关
disease association	疾病相关
disease free survival	无病生存
disease resistance	抗病性
disease resistance	抗病性
disease-related gene	疾病相关基因
dish	平皿
dish	平皿
disinfectant	消毒剂
disinfectant	消毒剂
disinfection	消毒
disinfection	消毒
disinfestation	灭虫
disinfestation	灭虫
disinhibition	去抑制
disinhibition	去抑制
disintegration	蜕变,衰变,去整合,解整合,分解,破碎
disintegration	蜕变，衰变；去整合，解整合；分解，破碎
disintegrator	粉碎器,粉碎机
disintegrator	粉碎器，粉碎机
disjunction	分离
disjunction	分离
disk	磁盘
disk centrifuge	圆盘(式)离心机
disk centrifuge	圆盘（式）离心机[带有成叠的有孔圆盘，常用于溶液的澄清化处理]
disk quota	磁盘配额
disk-type rotor	圆盘型转头
dislocation	脱位,转位,位错
dislocation	脱位，转位，位错
dismutase	岐化酶
dismutase	岐化酶
Disodium EDTA	乙二胺四乙基二鈉 水質處理，有抗氧化功效，當作防腐劑使用，亦可防止鈣鎂離子沈澱
Disodium Laureth Sulfosuccinate	磺基琥珀酸酯 一種界面活性劑，清潔用起泡劑
disome	二体,双体
disome	二体，双体
disordered state	无序状态
disordered state	无序状态
disordered structure	无序结构
disordered structure	无序结构
dispase	分散酶,中性蛋白酶
dispase	分散酶，中性蛋白酶[用于分散组织培养中的动物细胞]
dispenser	分液器
dispenser	分液器
dispermy	双精人卵
dispermy	双精人卵
dispersant	分散剂
dispersant	分散剂
disperse medium	分散介质
disperse medium	分散介质
disperse phase	分散相
disperse phase	分散相
disperse system	分散系统
disperse system	分散系统
disperse, to	分散，成
dispersion	分散,色散
dispersion	分散；色散
dispersion force	分散力,色散力
dispersion force	分散力；色散力
dispersion spectrum	色散谱
dispersion spectrum	色散谱
displaced loop	替代环
displaced loop	替代环
displacement	顶替,替代,置换
displacement	顶替，替代，置换
displacement (malposition) of uterus	子宫移位
displacement analysis	顶替(分析)法
displacement analysis	顶替（分析）法
displacement chromatography	顶替层析
displacement chromatography	顶替层析
displacement electrophoresis	顶替电泳
displacement electrophoresis	顶替电泳
displacement loop	替代环,D环
displacement loop	替代环，D环[形如英文字母D]
displacement reaction	置换反应
displacement reaction	置换反应
display box	纸板陈列盒
display controls	显示控制
display settings	先是设置
Display SI	显示SI
display unit	显示装置
display unit (in operator's console)	显示装置（在操控台）
disposable glove	一次性手套
disposable microcentrifuge tube	一次性（使用的）微量离心管
disposable tip	一次性（使用的）吸头
dispose	处理
disproportionation	岐化（反应）
disrotatory	对旋
disruption	破裂，破坏
dissecting microscope	解剖显微镜
dissection	解剖，剖分
disseminated intravascular coagulation	弥漫性血管内凝血
Disseminated Intravascular Coagulation (DIC)	弥漫性血管内凝血
dissimilation	异化（作用）
dissociation	解离，离解
dissociation constant	解离常数
dissociative anesthesia	分离麻醉
dissolvability	溶（解）度，（可）溶（解）性
dissolvable stitches	可降解医用手术缝线
dissolvant	溶剂
distamycin	偏端霉素
distance receptor	距离感受器
distant hybirdization	远缘杂交
distant hybrid	远缘杂种
Distilled Water	蒸餾水 基質，產品調製時所需的水份
distorted peak	畸峰
distorted vision	视物变形
distributor	分销商
district office	地区办公室
diterpene	双萜，二萜
dithioerythritol	二硫赤藓糖醇
dithiothreitol	二硫苏糖醇
diuretic	利尿剂
divergence	分散[用于神经系统]；趋异
divergent	趋异进化
diverse ion effect	异离子效应
diversion	流弊(转入非法渠道)
diversity gene	D基因[为D区编码的基因]
diversity region	多变区，D区[免疫球蛋白等分子重链的一个高变区]
divinylbenzene	二乙烯苯
Division of Dockets Management	文档管理部
dizygotic twins	二卵双生，异卵双生
Dmdm Hydantoin	防腐劑，會釋放甲醛(Formaldehyde)，會刺激皮膚，長期使用有致癌之虞
DNA (deoxyribonucleic acid)	去(脱)氧核糖核酸
DNA adduct	DNA加合物
DNA amplification in vitro	DNA体外扩增
DNA amplification polymorphism	DNA扩增多态性
DNA bending	DNA转折，DNA弯曲
DNA binding domain	DNA结合性结构域
DNA blotting	DNA印迹（法）
DNA catenation	DNA连环
DNA circle	DNA环[指环状DNA]
DNA cleavage	DNA裂解，DNA切割
DNA cloning	DNA克隆（化）
DNA fingerprinting	DNA指纹图谱
DNA helicase	DNA解螺旋?
DNA jumping technique	DNA跳查技术
