醋氨酚	Acetaminophen
abdominal spatula	腹腔板，压肠板
abdominal suction tube	腹腔吸管
abdominal tractor	腹壁牵引器
abduction	诱导
abduction splint	外展夹
abequose	阿比可糖，beta脱氧岩藻糖
aberrant splicing	异常剪接
aberration	①象差，偏差 ②失常
aberrometer	象差计
abide	坚持，遵守，依从
ability	能力，本领，性能
abiogenesis	自然发生论，无生源论
abiotic	无生命的; 非生物的
Abiotrophia adjacens	毗邻贫养菌
Abiotrophia defectiva	软弱贫养菌
Abiraterone	阿比特龙［雄激素拮抗药］
Abitesartan	阿比沙坦［血管紧张素Ⅱ受体阻滞药］
ABL	大气边界层
ablastin	抑殖素（抑制微生物细胞分裂或生殖的一种抗体）
abluent	清洗剂，洗涤剂
Ablukast	阿鲁司特［抗过敏药］
Ablutia Fricheur Purifying Foam Cleanser	清爽洁肤泡沫（有泡沫，具体系列不详）
ablution	洗净，清洗法
ablution	1:清洗 2：洗净液；
abnormal	异常的，反常的，不规则的
abnormal conditions	异常条件
abnormal distrbution	非正态分布
abnormal distribution	1:非正态分布；
abnormality	异常，紊乱，不正常现象
ABO blood group system	ABO血型系统
aboard	在（某种运输或运载工具）上
abolish	废除，取消
aboriginal mouse	原生鼠
abortin	流产素
abortion	流产，堕胎
abortion suction unit	流产吸引器
abortive egg	败育卵
abortive infection	流产（性）感染
abortive transduction	流产转导
abortoscope	流产杆菌检查器
abortus forceps	流产钳
above	proof
above-critical	临界以上的；
ABP	肌动蛋白结合蛋白
abradant	①磨料，磨蚀剂 ②研磨用的
abrade	磨光，磨蚀
abrasion tester	磨损试验器
abrasive	磨料; 磨蚀剂; 有磨蚀作用的
abrasive	磨料，研磨机；
abrasive points	砂石针
abrasive wheels	砂轮
abrasor	①智除器 ②磨器
abreuography	阿伯卢氏摄影术，荧光X射线照像术
abridge	简化，摘要
abridged general view	示意图
abridged spectrophotometer	滤色分光光度计
abrin	相思豆毒蛋白
abroad	国外，在外，广泛地
abrupt	①突然的 ②裂状的
abrupt change	1陡变 2：（滴定）突跃；
abruption	隔断，断路
abscess	脓肿
abscess knife	脓肿刀
abscess lancet	脓肿刀
abscess probe	①脓肿探针 ②牙探针
abscess syringe	脓肿冲洗器
abscesses	脓肿
abscisic acid	脱落酸
abscissa	横座标，横线
abscission	脱落
absence	缺席，缺乏，不注意
Absinthol	苦艾醇［止血药］
absolute	绝对的，完全的，无条件的
absolute calibration curve method	绝对校准曲线法；
absolute configuration	绝对构型
absolute counting	绝对测量
absolute deviation	绝对偏差
absolute deviation	绝对偏差；
absolute efficiency	绝对效率
absolute encoder	绝对编码器
absolute error	绝对误差
absolute error	绝对误差；
absolute ethyl alcohol	无水乙醇；
absolute humidity	绝对湿度；
absolute isotopic abundance measurement	绝对同位素丰度测量；
absolute manometer	绝对压力计；
absolute mobility	绝对淌度；
absolute precision	绝对精密度；
absolute refractive index	绝对折射率；
absolute refractory period	绝对不应期
absolute retention time	绝对保留时间；
absolute scale	绝对温标
absolute sensitivity	绝对灵敏度
absolute sensitivity	绝对灵敏度；
absolute stability constant	绝对稳定常数；
absolute temperature	绝对温度
absolute temperature	绝对温度；
absolute zero	绝对零度
absolution configuration	绝对构型；
absorb	吸收，吸附，吸引
absorbability	吸收能力，吸附能力，吸收性
absorbable gauze	可吸收纱布
absorbable gelatin film	吸水明胶片
absorbable gelatin sponge	吸收性明胶海绵
absorbable ligature	可吸收结扎线
absorbable suture	吸收性缝线
absorbance	吸收率，透射率
absorbance	吸收度，吸光度；
absorbance index ＝absorptivity	1：吸收系数 2：吸光系数；
absorbance ratio	吸光度比值；
absorbate	被附收物，吸附质
absorbed dose	吸收剂量
absorbed dose	吸收计量；
absorbed dose unit	吸收剂量单位
absorbed layer	（被）吸收层；
absorbed power	吸收能力
absorbed radiation energy	吸收辐射能
absorbent	①吸收剂 ②能吸收的
absorbent	吸收剂；吸收的，有吸收力的；
absorbent bandage	脱脂绷带
absorbent carbasus	脱脂纱布，吸水纱布
absorbent cotton	脱脂棉，吸水棉
absorbent gauze	脱脂纱布，吸水纱布
absorbent wool	吸水棉
absorber	①吸引器，吸收器 ②吸收剂
absorber disc	吸收体圆盘片
absorber of long-wave radiation	长波辐射吸收剂
absorber vessel	吸收器; 吸收装置
absorbing ability	吸收能力
absorbing band	吸收带；
absorbing capacity	吸收能力
absorbing gas	吸收气体
absorbing medium	吸收介质
absorbtivity	吸收率，吸收量，吸收性
absorptance	吸收系数，吸收比
absorptiometer	①吸收比色计,吸光测定计 ②液体溶气计
absorptiometry	吸光测定法
absorption	吸收作用
absorption	吸收；
absorption apparatus	吸收器
absorption band	吸收谱带
absorption cell	吸收池
absorption chamber	吸收室；
absorption characteristic	吸收特性曲线
absorption coefficient	吸收系数
absorption effect	吸收效应
absorption factor	吸收率；
absorption hygrometer	吸收湿度计
absorption index	吸收指数；
absorption length	吸收长度
absorption lens	吸收透镜
absorption lines	吸引线
absorption peak	吸收峰；
absorption power	吸收能力；
absorption region	吸收范围；
absorption spectroscopy	吸收光谱法
absorption spectroscopy	吸收光谱法；
absorption spectrum	吸收光谱
absorption spectrum	吸收光谱；
absorption tube	吸收（试验）管
absorption tube	support
absorption value	吸收值
absorption value	吸收值；
absorption wavemeter	吸收式波长计
absorption wavetrap	吸收陷波器
absorptive amplitude	吸收振幅，吸收幅度
absorptive complex	吸收性复合体
absorptive endocytosis	吸收（型）胞吞（作用）
absorptive pinocytosis	吸收（型）胞饮（作用）
absorptivity	吸光系数；吸收性
abstergent	①洗涤剂 ②去污粉
abstinence	戒酒
abstract (abbr. Abstr.)	文摘，摘要
abstraction	分离，提取，抽出
abterminal	远末端的
abundance	丰度
abundance	丰度；
abundance of element	元素丰度；
abundant	丰富的，大量的，充足的
abundant mRNAs	高丰度mRNA
Abunidazole	阿布硝唑［抗寄生虫药］
abutment	①邻接，接近，接合点 ②支柱，座
abzyme	抗体酶
AC erasing head	交流电消磁头
AC potentiometer	交流电位计
Acacia	阿拉伯胶［药用辅料］
academy	①专科学校 ②学会 ③研究院
academy of science	科学院
Acadesine	阿卡地新［抗血小板聚集药］
Acamprosate	阿坎酸［精神调节药］
Acamylophenine	卡米罗芬［解痉药］
acantha reaming forceps	①棘突打孔钳 ②脊柱扩孔钳
acanthulus	拔刺器
Acaprazine	阿卡嗪［抗青光眼药］
Acarbose	阿卡波糖［降血糖药］
acaricidin	杀螨剂
ACCAD	世界气候应用及资料计划咨询委员会
accedent variation	偶然变异
accelerant	催化剂
ACCELERATED APPROVAL	加速批准
accelerated flow method	加速流动法
accelerating chamber	加速真空箱
acceleration	①加速，加速度 ②促进
acceleration and vibration	加速和振动
acceleration compensation	加速补偿
acceleration sensitivity	加速敏感性
accelerator	①加速器 ②加速电极
accelerator	（粒子）加速器；
accelerograph	自动加速仪
accelerometer	加速计
accept	①接受，承认 ②答应
acceptable daily intake	容许日摄入量
acceptable life	有效使用寿命；
acceptance	验收，接收，承认
acceptance level	验收标准；
acceptance quality level	（AQL）合格质量标准；
acceptance test	验收试验
accepted regions	被接受的区域
accepter	①接受器 ②通波器
accepting a claim	索赔
accepting an order	接受订单
accepting arm	[tRNA的]接纳臂
acceptor	①接受器 ②通波器
acceptor site	接纳位点，接受位点
acceptor splicing site	剪接受体
acceptor stem	[tRNA的]接纳茎
access	接近，人口，通路，存取
accessary	①附件，辅助设备 ②辅助的
accessible	易接近的，可取得的
accessible promoter	可及启动子
accessible surface	可及表面
Accession Number	权限号
accession number	补充编号
accessories	附件
accessory	①附件，辅助设备 ②辅助的
accessory bag	附件包，备件包
accessory cell	佐细胞
accessory chromosome	副染色体
accessory factor	辅助因子
accessory filter	辅助滤波器
accessory nucleus	副核
accessory pigment	辅助色素
accessory protein	辅助蛋白（质）
accessory substance	副产物；
accident	事故，故障，偶然事件
accident management	事故管理
accidental error	偶然误差
accidental error	偶然误差；
accidental spill	事故性溢漏
accommodation	①调节，适应 ②供应 ③设备
accommodation	调节；
accommodation reflex	调节反射
accommodometer	眼调节计
accompaniment	附属物，伴随物
accompany	伴随，随同，补充
accomplish	完成，实现，达到（目的）
accord	使一致，符合，给予
accordant	一致的，调和的，匹配的
account	①说明，计算 ②帐单
accountant	①计算装置 ②会计师
accounting device	计算装置
accounting machine	计算机
accumulated dose	累积剂量，总剂量
accumulating register	累加寄存器
accumulation	累积，聚集，存储
accumulative error	累积误差
accumulator	①存储器，累加器 ②蓄电池
accumulator battery	蓄电池
accumulator cell	蓄电池
accumulator of gas	气体蓄积器
accumulator register	累加寄存器，累加计数器
accumulator switch	电池转换开关
accuracy	准确度，精确度
accuracy	准确度；
accurate	准确的，精密的，精确的
accurate sweep generator	精密扫描发生器
accutron	电子手表
ACD(annihilation coincidence detection)	湮没符合探测CT（又叫正电子－CT）RCT的一种
ace bandage	布绷带，A牌绷带（一种弹性绷带的商标名）
Acebrochol	醋溴考尔［催眠镇静药］
Aceburic Acid	醋羟丁酸
Acebutolol	醋丁洛尔［β受体阻滞药］
Acecainide	乙酰卡尼［抗心律失常药］
AcecarbromaI	醋卡溴脲［催眠镇静药］
Aceclidine	醋克利定［抗胆碱酯酶药，缩瞳药］
Aceclofenac	醋氯芬酸［消炎镇痛药］
Acedapsone	醋氨苯砜［抗感染药］
Acediasulfone Sodium	醋地砜钠［抗感染药］
Acedoben	醋氨苯酸［抗病毒药］
Acefylline Clofibrol	克醋茶碱［血管扩张药］
Acefylline Piperazine	哌醋茶碱［血管扩张药，利尿药］
Acegastrodine	乙酰天麻素［镇静镇痛药］
Aceglatone	醋葡醛内酯［β葡糖醛苷酶抑制药］
Aceglutamide	醋谷胺［精神振奋药］
Acemannan	醋孟南［抗病毒药］
Acemetacin	阿西美辛［消炎镇痛药］
Acemethadone	醋美沙朵［镇痛药］
acenaphthene	二氢苊
acene	并苯
Aceneuramic Acid	醋纽拉酸［祛痰药］
Acenocoumarin	醋硝香豆素［抗凝药］
Acenocoumarol	醋硝香豆素［抗凝药］
acentric	无着丝粒的
acentric fragment	无着丝粒断片
acentric ring	无着丝粒环
Aceperone	醋哌隆［血管扩张药］
Acephenazine	醋奋乃静［抗精神病药］
Acepromazine	乙酰丙嗪［抗精神病药］
Aceprometazine	醋异丙嗪［抗精神病药］
Acequinoline	阿西喹啉［抗痛风药］
Acesulfame	乙酰舒泛［甜味药］
ACES（automatic checkout and evaluation system	自动检测与鉴定系统
acetabuloplastic apparatus	髋关节成形器械
acetabuloplastic file	髋臼盛开锉
acetabulum	①髋臼 ②腹吸盘
acetal	缩醛
acetaldehyde	乙醛
acetaldehyde	乙醛；
acetalresin	缩醛树脂
acetamidase	乙酰胺酶
acetamide	乙酰胺
Acetamidoeugenol	醋胺丁香酚［麻醉药］
Acetaminophen	对乙酰氨基酚［解热镇痛药］
Acetaminosalol	醋氨沙洛［解热镇痛药］
Acetanilide	乙酰苯胺［解热药］
Acetarsol	乙酞胂胺［抗原虫药］
acetate	醋酸盐
acetate moiety	乙酸根; 乙酸基
Acetazolamide	乙酰唑胺［利尿药］
Acetiamine	乙酰硫胺［维生素类药］
Acetic Acid	醋酸［消毒防腐药］
acetic acid	乙酸，醋酸
acetic acid	乙酸；
acetic acid bacteria	乙酸菌，醋酸菌
acetic anhydride	乙酸酐
acetic anhydride	乙酸酐；
acetification	乙酸化作用，醋化作用
acetimeter	醋酸比重计
acetin	乙酸甘油酯，三乙酰甘油酯
